case,q,pool_sp,pull_sp,mk,cores,exp,plan_path,ts,source,verified_local
case_001,3,4.907372,4.907372,47502,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_001_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pool,
case_002,3,3.982077,4.343094,60313,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_002_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pull,
case_003,3,2.714794,2.714794,221826,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_003_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pool,
case_004,3,4.441392,4.441392,88341,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_004_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pool,
case_005,3,1.670913,1.421427,67269,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_005_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pool,
case_006,3,3.548079,3.988108,20771,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_006_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pull,
case_007,3,4.967581,4.967581,203834,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_007_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pool,
case_008,3,4.846824,5.113683,95353,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_008_q3_N5_s11/plan.json,2026-09-24T08:50:32+00:00,pull,
case_009,3,1.785156,1.785156,85853,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_009_q3_N5_s11/plan.json,2026-09-24T08:50:42+00:00,pool,
case_010,3,4.161395,3.888968,22363,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_010_q3_N5_s11/plan.json,2026-09-24T08:51:08+00:00,pool,
case_011,3,4.553561,4.613504,40034,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_011_q3_N5_s11/plan.json,2026-09-24T08:56:24+00:00,pull,
case_012,3,3.820016,4.327206,13655,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_012_q3_N5_s11/plan.json,2026-09-24T08:50:42+00:00,pull,
case_013,3,4.871346,4.877377,54117,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_013_q3_N5_s11/plan.json,2026-09-24T08:51:42+00:00,pull,
case_014,3,4.803372,4.804602,3683682,5,A-P3-STRAND-N5,runs/A-P3-STRAND-N5/case_014_q3_N5_s11/plan.json,2026-09-24T07:55:25+00:00,pull,
case_015,3,4.349987,4.014077,44185,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_015_q3_N5_s11/plan.json,2026-09-24T08:51:31+00:00,pool,
case_016,3,3.443543,3.214294,2400379,4,A-P3-STRAND-002,runs/A-P3-STRAND-002/case_016_q3_N4_s11/plan.json,2026-09-24T04:56:39+00:00,pool,
case_017,3,4.882591,4.882591,33345,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_017_q3_N5_s11/plan.json,2026-09-24T08:52:20+00:00,pool,
case_018,3,4.983363,4.983363,201544,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_018_q3_N5_s11/plan.json,2026-09-24T08:51:18+00:00,pool,
case_019,3,4.975107,4.460177,18193,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_019_q3_N5_s11/plan.json,2026-09-24T08:56:39+00:00,pool,
case_020,3,4.948871,4.948871,107650,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_020_q3_N5_s11/plan.json,2026-09-24T08:50:59+00:00,pool,
case_021,3,5.256957,5.256957,1249380,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_021_q3_N5_s11/plan.json,2026-09-24T08:52:16+00:00,pool,
case_022,3,4.799662,4.743922,11969,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_022_q3_N5_s11/plan.json,2026-09-24T08:58:47+00:00,pool,
case_023,3,5.242603,5.27599,23240,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_023_q3_N5_s11/plan.json,2026-09-24T08:51:47+00:00,pull,
case_024,3,3.437336,3.207268,796735,4,A-P3-STRAND-002,runs/A-P3-STRAND-002/case_024_q3_N4_s11/plan.json,2026-09-24T04:56:45+00:00,pool,
case_025,3,4.986277,4.983191,975886,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_025_q3_N5_s11/plan.json,2026-09-24T08:52:40+00:00,pool,
