case,posthoc_sp,official_mk,slots,verified_sp,gain,status
case_001,4.907372,,6,4.907372,0.0,REJECT_over5slots
case_002,4.238592,,,4.238592,0.0,posthoc_only
case_003,1.214495,492023,4,1.223951,0.009456,gain
case_004,3.54904,,6,3.54904,0.0,REJECT_over5slots
case_005,1.188141,,6,1.188141,0.0,REJECT_over5slots
case_006,2.888722,28676,5,2.888722,0.0,gain
case_007,4.967581,,6,4.967581,0.0,REJECT_over5slots
case_008,4.846824,,6,4.846824,0.0,REJECT_over5slots
case_009,1.691305,,6,1.691305,0.0,REJECT_over5slots
case_010,2.892892,25186,4,3.453069,0.560177,gain
case_011,3.170165,46880,4,3.939782,0.769617,gain
case_012,3.427776,,6,3.427776,0.0,REJECT_over5slots
case_013,4.767348,,6,4.767348,0.0,REJECT_over5slots
case_015,3.453781,50138,5,3.537477,0.083696,gain
case_016,1.0,5285195,4,1.459837,0.459837,gain
case_017,4.16064,,6,4.16064,0.0,REJECT_over5slots
case_018,4.664207,,6,4.664207,0.0,REJECT_over5slots
case_019,3.389757,23938,5,3.389757,0.0,no_gain
case_020,4.489836,,6,4.489836,0.0,REJECT_over5slots
case_021,5.280108,,6,5.280108,0.0,REJECT_over5slots
case_022,4.326755,,6,4.326755,0.0,REJECT_over5slots
case_023,4.402183,,6,4.402183,0.0,REJECT_over5slots
case_024,1.0,1749875,4,1.4603,0.4603,gain
case_025,4.94217,,6,4.94217,0.0,REJECT_over5slots
case_026,2.269261,42022,3,2.36074,0.091479,gain
case_027,4.648727,,6,4.648727,0.0,REJECT_over5slots
case_028,4.787933,,6,4.787933,0.0,REJECT_over5slots
case_029,2.999122,,6,2.999122,0.0,REJECT_over5slots
case_030,4.85254,,6,4.85254,0.0,REJECT_over5slots
case_031,4.697433,,6,4.697433,0.0,REJECT_over5slots
case_032,3.867395,10716,5,3.867395,0.0,no_gain
case_033,4.801197,,6,4.801197,0.0,REJECT_over5slots
case_034,4.617739,,6,4.617739,0.0,REJECT_over5slots
case_035,1.744235,91459,4,1.854066,0.109831,gain
case_036,4.976493,,6,4.976493,0.0,REJECT_over5slots
case_037,4.882268,,,4.882268,0.0,posthoc_only
case_038,4.513313,,6,4.513313,0.0,REJECT_over5slots
case_039,4.534191,316542,5,4.534191,0.0,gain
case_040,2.40935,,6,2.40935,0.0,REJECT_over5slots
case_041,4.906156,,6,4.906156,0.0,REJECT_over5slots
case_042,4.837335,,6,4.837335,0.0,REJECT_over5slots
case_043,2.983902,,,2.983902,0.0,posthoc_only
case_044,0.994974,100665,2,1.53387,0.538896,gain
case_045,4.012714,,6,4.012714,0.0,REJECT_over5slots
case_046,2.045754,117254,3,2.357745,0.311991,gain
case_047,1.061939,,,1.061939,0.0,posthoc_only
case_048,1.044591,212734,5,1.044591,0.0,no_gain
case_049,1.45979,133101,4,1.47464,0.01485,gain
case_050,1.659498,,6,1.659498,0.0,REJECT_over5slots
case_051,1.0,415465,4,1.462525,0.462525,gain
case_052,4.238786,,6,4.238786,0.0,REJECT_over5slots
case_053,3.222367,,6,3.222367,0.0,REJECT_over5slots
case_054,1.71873,,6,1.71873,0.0,REJECT_over5slots
case_055,3.776016,,6,3.776016,0.0,REJECT_over5slots
case_056,1.182432,,,1.182432,0.0,posthoc_only
case_057,3.990246,,6,3.990246,0.0,REJECT_over5slots
case_058,4.795672,,6,4.795672,0.0,REJECT_over5slots
case_059,5.501141,,6,5.501141,0.0,REJECT_over5slots
case_060,4.780774,185909,5,4.780774,0.0,gain
case_061,3.326481,23205,5,3.326481,0.0,gain
case_062,1.717798,,6,1.717798,0.0,REJECT_over5slots
case_063,4.373091,,,4.373091,0.0,posthoc_only
case_064,1.109847,16753,4,1.141049,0.031202,gain
case_065,3.61228,,6,3.61228,0.0,REJECT_over5slots
case_066,2.273948,,6,2.273948,0.0,REJECT_over5slots
case_067,4.847767,,6,4.847767,0.0,REJECT_over5slots
case_068,1.244304,,6,1.244304,0.0,REJECT_over5slots
case_069,1.751829,12959,4,1.940273,0.188444,gain
case_070,3.721447,,6,3.721447,0.0,REJECT_over5slots
case_071,1.59385,11177,3,1.692672,0.098822,gain
case_072,4.894757,,,4.894757,0.0,posthoc_only
case_073,4.746097,,6,4.746097,0.0,REJECT_over5slots
case_074,4.817132,,6,4.817132,0.0,REJECT_over5slots
case_075,2.003097,,6,2.003097,0.0,REJECT_over5slots
case_076,4.79423,,,4.79423,0.0,posthoc_only
case_077,4.485741,,6,4.485741,0.0,REJECT_over5slots
case_078,4.05356,504135,5,4.554619,0.501059,gain
