case,pool_sp,pull_sp,official_mk,verified_sp,gain,slots,status
case_001,4.907372,,,4.907372,0.0,,pool_only
case_002,3.982077,4.343094,60313,4.343094,0.361017,5,verified_gain
case_003,2.558054,,,2.558054,0.0,,pool_only
case_004,4.441392,,,4.441392,0.0,,pool_only
case_005,1.519942,,,1.519942,0.0,,pool_only
case_006,3.395098,3.796901,21817,3.796901,0.401803,5,verified_gain
case_007,4.967581,,,4.967581,0.0,,pool_only
case_008,4.846824,,,4.846824,0.0,,pool_only
case_009,1.785718,,,1.785718,0.0,,pool_only
case_010,3.824326,,,3.824326,0.0,,pool_only
case_011,4.392423,4.613504,40034,4.613504,0.22108,5,verified_gain
case_012,3.742589,4.103048,14401,4.103048,0.360459,5,verified_gain
case_013,4.855306,,,4.855306,0.0,,pool_only
case_014,4.793876,,,4.793876,0.0,,pool_only
case_015,4.268743,,,4.268743,0.0,,pool_only
case_016,3.443506,,,3.443506,0.0,,pool_only
case_017,4.882005,,,4.882005,0.0,,pool_only
case_018,5.001081,,,5.001081,0.0,,pool_only
case_019,4.974802,,,4.974802,0.0,,pool_only
case_020,4.945701,,,4.945701,0.0,,pool_only
case_021,5.253644,,,5.253644,0.0,,pool_only
case_022,4.799662,,,4.799662,0.0,,pool_only
case_023,5.218283,5.27599,23240,5.27599,0.057707,5,verified_gain
case_024,3.435058,,,3.435058,0.0,,pool_only
case_025,4.986277,,,4.986277,0.0,,pool_only
case_026,2.852464,,,2.852464,0.0,,pool_only
case_027,5.128446,5.128446,460949,5.128446,0.0,5,verified_no_gain
case_028,5.440847,,,5.440847,0.0,,pool_only
case_029,4.346644,,,4.346644,0.0,,pool_only
case_030,4.994351,,,4.994351,0.0,,pool_only
case_031,4.815201,,,4.815201,0.0,,pool_only
case_032,3.390853,3.417979,12125,3.417979,0.027127,5,verified_gain
case_033,5.003782,5.010791,354075,5.010791,0.007009,5,verified_gain
case_034,4.753049,,,4.753049,0.0,,pool_only
case_035,1.953808,,,1.953808,0.0,,pool_only
case_036,4.976493,,,4.976493,0.0,,pool_only
case_037,4.882268,,,4.882268,0.0,,pool_only
case_038,4.9743,,,4.9743,0.0,,pool_only
case_039,4.385198,,,4.385198,0.0,,pool_only
case_040,2.396705,2.45526,103229,2.45526,0.058555,5,verified_gain
case_041,4.922733,,,4.922733,0.0,,pool_only
case_042,4.926011,,,4.926011,0.0,,pool_only
case_043,2.981985,3.237076,209342,3.237076,0.255091,5,verified_gain
case_044,2.163169,2.210836,69841,2.210836,0.047667,5,verified_gain
case_045,4.801024,,,4.801024,0.0,,pool_only
case_046,2.501018,3.003542,92043,3.003542,0.502524,5,verified_gain
case_047,1.210217,1.279049,255274,1.279049,0.068832,5,verified_gain
case_048,1.452058,,,1.452058,0.0,,pool_only
case_049,1.585684,1.838875,106737,1.838875,0.253191,5,verified_gain
case_050,2.093215,,,2.093215,0.0,,pool_only
case_051,3.395234,,,3.395234,0.0,,pool_only
case_052,5.025392,,,5.025392,0.0,,pool_only
case_053,3.685327,,,3.685327,0.0,,pool_only
case_054,2.903844,,,2.903844,0.0,,pool_only
case_055,4.808019,,,4.808019,0.0,,pool_only
case_056,1.474873,1.386834,199941,1.474873,0.0,5,verified_no_gain
case_057,4.52093,,,4.52093,0.0,,pool_only
case_058,4.78812,,,4.78812,0.0,,pool_only
case_059,5.501141,,,5.501141,0.0,,pool_only
case_060,4.897611,4.919024,180684,4.919024,0.021414,5,verified_gain
case_061,3.805699,,,3.805699,0.0,,pool_only
case_062,4.641324,,,4.641324,0.0,,pool_only
case_063,3.901304,4.600257,232682,4.600257,0.698953,5,verified_gain
case_064,1.281577,,,1.281577,0.0,,pool_only
case_065,4.521428,,,4.521428,0.0,,pool_only
case_066,2.647775,2.714613,132273,2.714613,0.066838,5,verified_gain
case_067,5.07069,,,5.07069,0.0,,pool_only
case_068,2.157138,,,2.157138,0.0,,pool_only
case_069,2.660178,,,2.660178,0.0,,pool_only
case_070,4.668657,,,4.668657,0.0,,pool_only
case_071,2.309448,,,2.309448,0.0,,pool_only
case_072,4.731585,,,4.731585,0.0,,pool_only
case_073,5.436512,,,5.436512,0.0,,pool_only
case_074,4.837259,5.006902,335984,5.006902,0.169643,5,verified_gain
case_075,3.371935,,,3.371935,0.0,,pool_only
case_076,4.770756,,,4.770756,0.0,,pool_only
case_077,4.381463,4.474557,110697,4.474557,0.093094,5,verified_gain
case_078,4.535797,4.619644,497039,4.619644,0.083847,5,verified_gain
case_079,5.111725,,,5.111725,0.0,,pool_only
case_080,3.108083,3.034569,96270,3.108083,0.0,5,verified_no_gain
case_081,4.905633,,,4.905633,0.0,,pool_only
case_082,3.445885,,,3.445885,0.0,,pool_only
case_083,5.269939,,,5.269939,0.0,,pool_only
case_084,4.988961,,,4.988961,0.0,,pool_only
case_085,3.756489,,,3.756489,0.0,,pool_only
case_086,1.571707,1.399149,84625,1.571707,0.0,5,verified_no_gain
case_087,4.654226,,,4.654226,0.0,,pool_only
case_088,1.962929,1.962929,124112,1.962929,0.0,5,verified_no_gain
case_089,5.632055,,,5.632055,0.0,,pool_only
case_090,4.045604,,,4.045604,0.0,,pool_only
case_091,4.613346,,,4.613346,0.0,,pool_only
case_092,5.968871,,,5.968871,0.0,,pool_only
case_093,4.674036,,,4.674036,0.0,,pool_only
case_094,4.769641,,,4.769641,0.0,,pool_only
case_095,4.953886,,,4.953886,0.0,,pool_only
case_096,3.112187,,,3.112187,0.0,,pool_only
case_097,5.466036,,,5.466036,0.0,,pool_only
case_098,2.676088,2.832309,62645,2.832309,0.156221,5,verified_gain
case_099,4.946976,,,4.946976,0.0,,pool_only
case_100,2.849125,2.849125,53077,2.849125,0.0,5,verified_no_gain
