case,q,pool_sp,winner,winner_official_mk,winner_plan_hash,winner_slots,padded_equiv,verified_sp,gain
case_001,2,4.907372,pool,,,5,,4.907372,0.0
case_002,2,3.982077,pull(官方实测mk),60313,a6d97df0ee679d50,5,,4.343094,0.361017
case_003,2,2.558054,pool,,,5,,2.558054,0.0
case_004,2,4.441392,pool,,,5,,4.441392,0.0
case_005,2,1.519942,pool,,,5,,1.519942,0.0
case_006,2,3.395098,pull(官方实测mk),21817,4e7edc44e9a6eefd,5,,3.796901,0.401803
case_007,2,4.967581,pool,,,5,,4.967581,0.0
case_008,2,4.846824,pool,,,5,,4.846824,0.0
case_009,2,1.785718,pool,,,5,,1.785718,0.0
case_010,2,3.824326,pool,,,5,,3.824326,0.0
case_011,2,4.392423,pull(官方实测mk),40034,99f52a9b2e117234,5,,4.613504,0.22108
case_012,2,3.742589,pull(官方实测mk),14401,aabaef118c1fb168,5,,4.103048,0.360459
case_013,2,4.855306,pool,,,5,,4.855306,0.0
case_014,2,4.793876,pool,,,5,,4.793876,0.0
case_015,2,4.268743,pool,,,5,,4.268743,0.0
case_016,2,3.443506,pool,,,5,,3.443506,0.0
case_017,2,4.882005,pool,,,5,,4.882005,0.0
case_018,2,5.001081,pool,,,5,,5.001081,0.0
case_019,2,4.974802,pool,,,5,,4.974802,0.0
case_020,2,4.945701,pool,,,5,,4.945701,0.0
case_021,2,5.253644,pool,,,5,,5.253644,0.0
case_022,2,4.799662,pool,,,5,,4.799662,0.0
case_023,2,5.218283,pull(官方实测mk),23240,1a5a630fc243b4fa,5,,5.27599,0.057707
case_024,2,3.435058,pool,,,5,,3.435058,0.0
case_025,2,4.986277,pool,,,5,,4.986277,0.0
case_026,2,2.852464,pool,,,5,,2.852464,0.0
case_027,2,5.128446,pool,,,5,,5.128446,0.0
case_028,2,5.440847,pool,,,5,,5.440847,0.0
case_029,2,4.346644,pool,,,5,,4.346644,0.0
case_030,2,4.994351,pool,,,5,,4.994351,0.0
case_031,2,4.815201,pool,,,5,,4.815201,0.0
case_032,2,3.390853,pull(官方实测mk),12125,a858b501817b07ce,5,,3.417979,0.027127
case_033,2,5.003782,pull(官方实测mk),354075,cacc8172401d7560,5,,5.010791,0.007009
case_034,2,4.753049,pool,,,5,,4.753049,0.0
case_035,2,1.953808,pool,,,5,,1.953808,0.0
case_036,2,4.976493,pool,,,5,,4.976493,0.0
case_037,2,4.882268,pool,,,5,,4.882268,0.0
case_038,2,4.9743,pool,,,5,,4.9743,0.0
case_039,2,4.385198,pool,,,5,,4.385198,0.0
case_040,2,2.396705,pull(官方实测mk),103229,1ddc5103068d0e61,5,,2.45526,0.058555
case_041,2,4.922733,pool,,,5,,4.922733,0.0
case_042,2,4.926011,pool,,,5,,4.926011,0.0
case_043,2,2.981985,pull(官方实测mk),209342,2783b1e3fd964d86,5,,3.237076,0.255091
case_044,2,2.163169,pull(官方实测mk),69841,198f0baa38618db7,5,,2.210836,0.047667
case_045,2,4.801024,pool,,,5,,4.801024,0.0
case_046,2,2.501018,pull(官方实测mk),92043,fc775317c776ffb2,5,,3.003542,0.502524
case_047,2,1.210217,pull(官方实测mk),255274,dd5114d67c8d08d7,5,,1.279049,0.068832
case_048,2,1.452058,pool,,,5,,1.452058,0.0
case_049,2,1.585684,pull(官方实测mk),106737,b77bdb0ac807c79a,5,,1.838875,0.253191
case_050,2,2.093215,pool,,,5,,2.093215,0.0
case_051,2,3.395234,pool,,,5,,3.395234,0.0
case_052,2,5.025392,pool,,,5,,5.025392,0.0
case_053,2,3.685327,pool,,,5,,3.685327,0.0
case_054,2,2.903844,pool,,,5,,2.903844,0.0
case_055,2,4.808019,pool,,,5,,4.808019,0.0
case_056,2,1.474873,pool,,,5,,1.474873,0.0
case_057,2,4.52093,pool,,,5,,4.52093,0.0
case_058,2,4.78812,pool,,,5,,4.78812,0.0
case_059,2,5.501141,pool,,,5,,5.501141,0.0
case_060,2,4.897611,pull(官方实测mk),180684,ef6cca1b4aa4ee3e,5,,4.919024,0.021414
case_061,2,3.805699,pool,,,5,,3.805699,0.0
case_062,2,4.641324,pool,,,5,,4.641324,0.0
case_063,2,3.901304,pull(官方实测mk),232682,f72b0c83741e8ded,5,,4.600257,0.698953
case_064,2,1.281577,pool,,,5,,1.281577,0.0
case_065,2,4.521428,pool,,,5,,4.521428,0.0
case_066,2,2.647775,pull(官方实测mk),132273,941273b90033baf8,5,,2.714613,0.066838
case_067,2,5.07069,pool,,,5,,5.07069,0.0
case_068,2,2.157138,pool,,,5,,2.157138,0.0
case_069,2,2.660178,pool,,,5,,2.660178,0.0
case_070,2,4.668657,pool,,,5,,4.668657,0.0
case_071,2,2.309448,pool,,,5,,2.309448,0.0
case_072,2,4.731585,pool,,,5,,4.731585,0.0
case_073,2,5.436512,pool,,,5,,5.436512,0.0
case_074,2,4.837259,pull(官方实测mk),335984,86935e85a7aad0b0,5,,5.006902,0.169643
case_075,2,3.371935,pool,,,5,,3.371935,0.0
case_076,2,4.770756,pool,,,5,,4.770756,0.0
case_077,2,4.381463,pull(官方实测mk),110697,e55ab31d6f245e7a,5,,4.474557,0.093094
case_078,2,4.535797,pull(官方实测mk),497039,fda4295a8505ed1d,5,,4.619644,0.083847
case_079,2,5.111725,pool,,,5,,5.111725,0.0
case_080,2,3.108083,pool,,,5,,3.108083,0.0
case_081,2,4.905633,pool,,,5,,4.905633,0.0
case_082,2,3.445885,pool,,,5,,3.445885,0.0
case_083,2,5.269939,pool,,,5,,5.269939,0.0
case_084,2,4.988961,pool,,,5,,4.988961,0.0
case_085,2,3.756489,pool,,,5,,3.756489,0.0
case_086,2,1.571707,pool,,,5,,1.571707,0.0
case_087,2,4.654226,pool,,,5,,4.654226,0.0
case_088,2,1.962929,pool,,,5,,1.962929,0.0
case_089,2,5.632055,pool,,,5,,5.632055,0.0
case_090,2,4.045604,pool,,,5,,4.045604,0.0
case_091,2,4.613346,pool,,,5,,4.613346,0.0
case_092,2,5.968871,pool,,,5,,5.968871,0.0
case_093,2,4.674036,pool,,,5,,4.674036,0.0
case_094,2,4.769641,pool,,,5,,4.769641,0.0
case_095,2,4.953886,pool,,,5,,4.953886,0.0
case_096,2,3.112187,pool,,,5,,3.112187,0.0
case_097,2,5.466036,pool,,,5,,5.466036,0.0
case_098,2,2.676088,pull(官方实测mk),62645,7858c116e6b612c6,5,,2.832309,0.156221
case_099,2,4.946976,pool,,,5,,4.946976,0.0
case_100,2,2.849125,pool,,,5,,2.849125,0.0
